単語,元単語,問題ID,読み方,別解,別表記,意味,追記,レベル,画像,切り抜き画像,Tags
槇皮,筎,Lv06_0170,まきはだ,,筎・槙肌・槇絮・衣絮,槇の木の皮を柔らかくしてゆるい縄状(繊維状)にしたもの。,「まいはだ」「まえはだ」「のみ」「のめ」などとも。,06,"<img src=""Lv06_0170.png"">","<img src=""Lv06_0170_cropped.png"">",漢字でGO!-06 漢字でGO!-別表記
槇絮,筎,Lv06_0170,まきはだ,,筎・槙肌・槇皮・衣絮,槇の木の皮を柔らかくしてゆるい縄状(繊維状)にしたもの。,「まいはだ」「まえはだ」「のみ」「のめ」などとも。,06,"<img src=""Lv06_0170.png"">","<img src=""Lv06_0170_cropped.png"">",漢字でGO!-06 漢字でGO!-別表記
衣絮,筎,Lv06_0170,まきはだ,,筎・槙肌・槇皮・槇絮,槇の木の皮を柔らかくしてゆるい縄状(繊維状)にしたもの。,「まいはだ」「まえはだ」「のみ」「のめ」などとも。,06,"<img src=""Lv06_0170.png"">","<img src=""Lv06_0170_cropped.png"">",漢字でGO!-06 漢字でGO!-別表記
筠,,Lv06_0171,たかむな,筍・笋,,タケノコの古称。,筠(たかんな)とも。,06,"<img src=""Lv06_0171.png"">","<img src=""Lv06_0171_cropped.png"">",漢字でGO!-06
崢嶸,,Lv06_0172,そうこう,,,山などが、高くけわしいさま。,,06,"<img src=""Lv06_0172.png"">","<img src=""Lv06_0172_cropped.png"">",漢字でGO!-06
蠮螉,,Lv06_0173,ささり,,螫,ジガバチの異称。,,06,"<img src=""Lv06_0173.png"">","<img src=""Lv06_0173_cropped.png"">",漢字でGO!-06
螫,蠮螉,Lv06_0173,ささり,,蠮螉,ジガバチの異称。,,06,"<img src=""Lv06_0173.png"">","<img src=""Lv06_0173_cropped.png"">",漢字でGO!-06 漢字でGO!-別表記
絁畳,,Lv06_0174,きぬたたみ,きぬだたみ,絹畳,絹製の敷き物。太さのそろわない絹の糸で織った敷き物。,,06,"<img src=""Lv06_0174.png"">","<img src=""Lv06_0174_cropped.png"">",漢字でGO!-06
絹畳,絁畳,Lv06_0174,きぬたたみ,きぬだたみ,絁畳,絹製の敷き物。太さのそろわない絹の糸で織った敷き物。,,06,"<img src=""Lv06_0174.png"">","<img src=""Lv06_0174_cropped.png"">",漢字でGO!-06 漢字でGO!-別表記
絓縫い,,Lv06_0175,すがぬい,,菅縫い・絓繍い,絓糸(すがいと)で小袖の縫い紋や刺繍模様を入れる縫い方。,,06,"<img src=""Lv06_0175.png"">","<img src=""Lv06_0175_cropped.png"">",漢字でGO!-06
菅縫い,絓縫い,Lv06_0175,すがぬい,,絓縫い・絓繍い,絓糸(すがいと)で小袖の縫い紋や刺繍模様を入れる縫い方。,,06,"<img src=""Lv06_0175.png"">","<img src=""Lv06_0175_cropped.png"">",漢字でGO!-06 漢字でGO!-別表記
絓繍い,絓縫い,Lv06_0175,すがぬい,,絓縫い・菅縫い,絓糸(すがいと)で小袖の縫い紋や刺繍模様を入れる縫い方。,,06,"<img src=""Lv06_0175.png"">","<img src=""Lv06_0175_cropped.png"">",漢字でGO!-06 漢字でGO!-別表記
縑の衣,,Lv06_0176,かとりの衣,,,縑(かとり)(*5)で仕立てた衣服。夏のはじめに着る。,縑(かとり)は「固織り」が変化した語。,06,"<img src=""Lv06_0176.png"">","<img src=""Lv06_0176_cropped.png"">",漢字でGO!-06
結繒,,Lv06_0177,ゆはた,,纈,絞り染め。くくり染め。また、絞り染めにした布や革。,,06,"<img src=""Lv06_0177.png"">","<img src=""Lv06_0177_cropped.png"">",漢字でGO!-06
纈,結繒,Lv06_0177,ゆはた,,結繒,絞り染め。くくり染め。また、絞り染めにした布や革。,,06,"<img src=""Lv06_0177.png"">","<img src=""Lv06_0177_cropped.png"">",漢字でGO!-06 漢字でGO!-別表記
秀罇,,Lv06_0178,ほだり,,,酒を入れて杯に次ぐのに用いる、たけの高い銚子。小型の酒樽。,,06,"<img src=""Lv06_0178.png"">","<img src=""Lv06_0178_cropped.png"">",漢字でGO!-06
臏,,Lv06_0179,あわだこ,あわたこ,,膝蓋骨の古称。ひざざら。,臏(あわた)とも。,06,"<img src=""Lv06_0179.png"">","<img src=""Lv06_0179_cropped.png"">",漢字でGO!-06
卞和璧,,Lv06_0180,べんかがたま,,,昔、中国にあったという名玉。和氏璧(かしのたま)とも。,,06,"<img src=""Lv06_0180.png"">","<img src=""Lv06_0180_cropped.png"">",漢字でGO!-06
山萆檞,,Lv06_0181,ところ,,止己呂・都古侶・萆檞・野老,ヤマノイモ目ヤマノイモ科のつる性多年草。,,06,"<img src=""Lv06_0181.png"">","<img src=""Lv06_0181_cropped.png"">",漢字でGO!-06
止己呂,山萆檞,Lv06_0181,ところ,,山萆檞・都古侶・萆檞・野老,ヤマノイモ目ヤマノイモ科のつる性多年草。,,06,"<img src=""Lv06_0181.png"">","<img src=""Lv06_0181_cropped.png"">",漢字でGO!-06 漢字でGO!-別表記
都古侶,山萆檞,Lv06_0181,ところ,,山萆檞・止己呂・萆檞・野老,ヤマノイモ目ヤマノイモ科のつる性多年草。,,06,"<img src=""Lv06_0181.png"">","<img src=""Lv06_0181_cropped.png"">",漢字でGO!-06 漢字でGO!-別表記
萆檞,山萆檞,Lv06_0181,ところ,,山萆檞・止己呂・都古侶・野老,ヤマノイモ目ヤマノイモ科のつる性多年草。,,06,"<img src=""Lv06_0181.png"">","<img src=""Lv06_0181_cropped.png"">",漢字でGO!-06 漢字でGO!-別表記
野老,山萆檞,Lv06_0181,ところ,,山萆檞・止己呂・都古侶・萆檞,ヤマノイモ目ヤマノイモ科のつる性多年草。,,06,"<img src=""Lv06_0181.png"">","<img src=""Lv06_0181_cropped.png"">",漢字でGO!-06 漢字でGO!-別表記
